Field Id,Field name,Rule,Rule type,Action,Rule note,Message,Message,Condition (if present):,Description
lctr.reportDetails.activitySectorCode,Activity sector,120000,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.reportDetails.activitySectorCode,Activity sector,120001,Content,Reject,"Changed October 17, 2024",The value entered is not in FINTRAC's list of values for the field.,300,,"Reject this report if the user provided a value not in the list:
	 - 1=Accountant
	 - 2=Bank
	 - 3=Caisse populaire
	 - 4=Crown agent
	 - 5=Casino
	 - 6=Co-op credit society
	 - 9=Life insurance broker or agent
	 - 10=Life insurance company
	 - 11=Money services business
	 - 12=Provincial savings office
	 - 13=Real estate
	 - 14=Credit union
	 - 15=Securities dealer
	 - 16=Trust and/or loan company
	 - 17=British Columbia notary
	 - 18=Dealer in precious metals and stones
	 - 19=Credit union central
	 - 20=Financial services cooperative
	 - 21=Foreign money services business
	 - 22=Mortgage administrators
	 - 23=Armoured Cars
	 - 24=Mortgage brokers
	 - 25=Mortgage lenders
"
lctr.reportDetails.ministerialDirectiveCode,Ministerial directive,120080,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 1 and 10 characters.
"
lctr.reportDetails.ministerialDirectiveCode,Ministerial directive,120081,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,,"Reject this report if the user provided a value not in the list:
	 - 1=IR2020
"
lctr.reportDetails.ministerialDirectiveCode,Ministerial directive,120082,Content,Reject,"Changed October 17, 2024","The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,,"Reject this report if the user provided a value and there is more than one transaction or the criteria of the particular Ministerial Directive are not met.
"
lctr.reportDetails.ministerialDirectiveCode,Ministerial directive,120084,Content,Warning,"Added October 17, 2024","The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,,"Send a warning if the user provided a value and the transaction is above threshold.
"
lctr.reportDetails.reportingEntityContactId,Contact identifier,120070,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.reportDetails.reportingEntityContactId,Contact identifier,120071,Content,Reject,,Invalid format.,362,,"Reject this report if the user provided a value that is not between 0 and 9999999.
"
lctr.reportDetails.reportingEntityContactId,Contact identifier,120072,Content,Reject,,FINTRAC does not have this contact on file for the reporting entity.,324,,"Reject this report if the user provided a contact number that is invalid for the reporting entity.
"
lctr.reportDetails.reportingEntityNumber,Reporting entity number,120010,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.reportDetails.reportingEntityNumber,Reporting entity number,120011,Content,Reject,,Invalid format.,362,,"Reject this report if the user provided a value that is not between 0 and 9999999.
"
lctr.reportDetails.reportingEntityReportReference,Reporting entity report reference,120030,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.reportDetails.reportingEntityReportReference,Reporting entity report reference,120031,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that did not contain only alpha character, numbers, dashes or underscores up to 100 characters.
"
lctr.reportDetails.reportingEntityReportReference,Reporting entity report reference,120032,Content,Reject,,The number must be unique for the reporting entity.,997,,"Reject this report if the user provided a report reference number which is not unique for this RE.
"
lctr.reportDetails.submittingReportingEntityNumber,Submitting reporting entity number,120020,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.reportDetails.submittingReportingEntityNumber,Submitting reporting entity number,120021,Content,Reject,,Invalid format.,362,,"Reject this report if the user provided a value that is not between 0 and 9999999.
"
lctr.reportDetails.twentyFourHourRule.aggregationTypeCode,Aggregation type,120040,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.reportDetails.twentyFourHourRule.aggregationTypeCode,Aggregation type,120041,Content,Reject,,Invalid format.,362,,"Reject this report if the user provided a value that is not between 1 and 9.
"
lctr.reportDetails.twentyFourHourRule.aggregationTypeCode,Aggregation type,120042,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,,"Reject this report if the user provided a value not in the list:
	 - 1=Beneficiary
	 - 2=Conductor
	 - 3=On behalf of (i.e. 3rd party)
	 - 4=Not applicable
"
lctr.reportDetails.twentyFourHourRule.aggregationTypeCode,Aggregation type,120043,Content,Reject,,"The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,,"Reject this report if the user provided aggregation type Beneficiary, Conductor, or On behalf of (i.e. 3rd party) and Ministerial Directive was chosen. Reject this report if the user provided aggregation type 4-Not applicable and there was either no single above theshold transaction provided or Ministerial Directive was not chosen.
"
lctr.reportDetails.twentyFourHourRule.aggregationTypeCode,Aggregation type,120044,Content,Warning,,"The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,,"Send a warning if the user provided aggregation type Beneficiary, Conductor, or On behalf of (i.e. 3rd party) and there was a single above threshold transaction provided.
"
lctr.reportDetails.twentyFourHourRule.periodEnd,End of period,120060,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.reportDetails.ministerialDirectiveCode is blank.
"
lctr.reportDetails.twentyFourHourRule.periodEnd,End of period,120061,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the user provided a value and lctr.reportDetails.ministerialDirectiveCode is not blank.
"
lctr.reportDetails.twentyFourHourRule.periodEnd,End of period,120062,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided a date that is not in the format yyyy-mm-ddThh:mm:ss-zz:zz.
"
lctr.reportDetails.twentyFourHourRule.periodEnd,End of period,120063,Content,Reject,,The value entered for the field does not provide what is required.,301,,"Reject this report if the user provided a date that is not 24 hours from lctr.reportDetails.twentyFourHourRule.periodStart.
"
lctr.reportDetails.twentyFourHourRule.periodEnd,End of period,120064,Content,Reject,,The field cannot contain a future date.,304,,"Reject this report if the user provided a date that is not before now.
"
lctr.reportDetails.twentyFourHourRule.periodStart,Start of period,120050,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.reportDetails.ministerialDirectiveCode is blank.
"
lctr.reportDetails.twentyFourHourRule.periodStart,Start of period,120051,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the user provided a value and lctr.reportDetails.ministerialDirectiveCode is not blank.
"
lctr.reportDetails.twentyFourHourRule.periodStart,Start of period,120052,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided a date that is not in the format yyyy-mm-ddThh:mm:ss-zz:zz.
"
lctr.reportDetails.twentyFourHourRule.periodStart,Start of period,120053,Content,Reject,,The field cannot contain a future date.,304,,"Reject this report if the user provided a date that is not before now.
"
lctr.transaction.completingActions,Completing action list,122560,Content,Reject,,The list must be within the specified size.,332,,"Reject this report if the list of values is not between 1 and 50.
"
lctr.transaction.completingActions.beneficiaries.details.clientNumber,Client number,123550,Format,Reject,,Invalid format.,362,Beneficiary,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.details.emailAddress,Email address,123560,Format,Reject,,Invalid format.,362,Beneficiary,"Reject this report if the user provided a value that does not adhere to the RFC5322 Internet Message Format or exceeded the maximum length of 200.
"
lctr.transaction.completingActions.beneficiaries.details.relationshipOfConductorCode,Relationship,123570,Content,Reject,,Invalid format.,362,Beneficiary,"Reject this report if the user provided a value that is not between 1 and 99.
"
lctr.transaction.completingActions.beneficiaries.details.relationshipOfConductorCode,Relationship,123571,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,Beneficiary,"Reject this report if the user provided a value not in the list:
	 - 1=Accountant
	 - 2=Agent
	 - 3=Borrower
	 - 4=Broker
	 - 5=Customer
	 - 6=Employee
	 - 7=Friend
	 - 8=Relative
	 - 9=Other
	 - 10=Legal counsel
	 - 11=Employer
	 - 12=Joint/Secondary owner
	 - 13=Power of attorney
	 - 14=Vendor/Supplier
	 - 15=Self
"
lctr.transaction.completingActions.beneficiaries.details.relationshipOfConductorOther,Relationship - other,123580,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Beneficiary,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.beneficiaries.details.relationshipOfConductorCode is Other (9).
"
lctr.transaction.completingActions.beneficiaries.details.relationshipOfConductorOther,Relationship - other,123581,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary,"Reject this report if the user provided a value and lctr.transaction.completingActions.beneficiaries.details.relationshipOfConductorCode is not Other (9).
"
lctr.transaction.completingActions.beneficiaries.details.relationshipOfConductorOther,Relationship - other,123582,Format,Reject,,Invalid format.,362,Beneficiary,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.buildingNumber,House/Building number,123290,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured are not empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.buildingNumber,House/Building number,123291,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 10 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.city,City,123370,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured are not empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.city,City,123371,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.countryCode,Country,123380,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 2 and 2 characters, containing only alpha characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.countryCode,Country,123381,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,Beneficiary / Entity,"Reject this report if the user provided a value not in the list:
	 - All ISO Countries
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.district,District,123300,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured are not empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.district,District,123301,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.postalZipCode,Postal or zip code,123341,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured are not empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.postalZipCode,Postal or zip code,123340,Presence,Warning,,"This field was not completed, but may be required based on the value entered elsewhere in the report.",375,Beneficiary / Entity,"Send a warning if the user did not provide a value and lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured is blank and lctr.transaction.completingActions.beneficiaries.entityDetails.address.countryCode is one of Canada (CA), United States (US).
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.postalZipCode,Postal or zip code,123342,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 20 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.postalZipCode,Postal or zip code,123343,Content,Reject,,The value entered for this field is not a valid format for a Postal Code / Zip Code.,363,Beneficiary / Entity,"Reject this report if the postal code provided is not a valid Canadian postal code OR if the ZIP code provided is not a valid US ZIP code OR if the postal code provided is not alphanumeric for countries entered in lctr.transaction.completingActions.beneficiaries.entityDetails.address.countryCode other than Canada and the United States.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.provinceStateCode,Province or state code,123310,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Beneficiary / Entity,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured is blank and lctr.transaction.completingActions.beneficiaries.entityDetails.address.countryCode is one of Canada (CA), United States (US), Mexico (MX).
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.provinceStateCode,Province or state code,123311,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured are not empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.provinceStateCode,Province or state code,123312,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and lctr.transaction.completingActions.beneficiaries.entityDetails.address.countryCode is not in CA, US, MX.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.provinceStateCode,Province or state code,123313,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 2 and 2 characters, containing only alpha characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.provinceStateCode,Province or state code,123314,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,Beneficiary / Entity,"Reject this report if the province/state code does not correspond with the country provided OR is not a valid Canadian, US or Mexican province/state code given the country lctr.transaction.completingActions.beneficiaries.entityDetails.address.countryCode.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.provinceStateName,Province or state name,123320,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured are not empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.provinceStateName,Province or state name,123321,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and lctr.transaction.completingActions.beneficiaries.entityDetails.address.countryCode is in CA, US, MX.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.provinceStateName,Province or state name,123322,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.streetAddress,Street address,123360,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured are not empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.streetAddress,Street address,123361,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.subProvinceSubLocality,Sub-province and/or sub-locality,123330,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured are not empty.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.subProvinceSubLocality,Sub-province and/or sub-locality,123331,Format,Reject,,Invalid format.,362,Beneficiary / Entity,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.beneficiaries.entityDetails.address.unitNumber,Apt/Room/Suite/Unit number,123280,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Beneficiary / Entity,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.beneficiaries.entityDetails.address.unstructured are not empty.
"
